Domain,as,city,country,countryCode,isp,lat,lon,org,query,region,regionName,status,timezone,zip
carfax.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.113,TX,Texas,success,America/Chicago,77903
carfax.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax.mobi,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax.xxx,"AS23148 MCI Communications Services, Inc. d/b/a Verizon Business",West Palm Beach,United States,US,ICM Registry LLC,26.7153,-80.0534,Verizon Business,199.253.28.249,FL,Florida,success,America/New_York,33420
carfax.xyz,"AS32787 Akamai Technologies, Inc.",Cambridge,United States,US,Akamai Technologies,42.3626,-71.0843,Akamai Technologies,72.52.4.122,MA,Massachusetts,success,America/New_York,02142
carfax.jobs,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax.top,AS13335 CloudFlare,San Francisco,United States,US,CloudFlare,37.7697,-122.3933,CloudFlare,162.159.210.96,CA,California,success,America/Los_Angeles,94107
carfax.education,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",184.168.221.52,AZ,Arizona,success,America/Phoenix,85260
