Domain,as,city,country,countryCode,isp,lat,lon,org,query,region,regionName,status,timezone,zip
carfax.deals,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",184.168.221.96,AZ,Arizona,success,America/Phoenix,85260
carfax.global,AS48287 Jsc ru-center,Khoroshëvskaya,Russia,RU,Jsc ru-center,47.7206,42.2203,RU-SERVICE Ltd ISP,109.70.26.37,,Rostov,success,Europe/Moscow,
carfax.dog,"AS14618 Amazon.com, Inc.",Ashburn,United States,US,Amazon.com,39.0481,-77.4728,Amazon.com,52.207.245.217,VA,Virginia,success,America/New_York,20149
carfax.nyc,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",50.63.202.23,AZ,Arizona,success,America/Phoenix,85260
carfax.report,AS40034 Confluence Networks Inc,Jacksonville,United States,US,Confluence Networks,30.1438,-81.5401,"Network Solutions, LLC",208.91.197.27,FL,Florida,success,America/New_York,32258
carfax.college,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",184.168.221.44,AZ,Arizona,success,America/Phoenix,85260
carfax.vin,AS24611 Datacenter Luxembourg S.A.,Bettembourg,Luxembourg,LU,Datacenter Luxembourg S.A.,49.5048,6.11237,Datacenter Luxembourg S.A.,80.92.65.53,L,District de Luxembourg,success,Europe/Luxembourg,
carfax-1-owner.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-1-owner.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-1-owner.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-1-owner.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-1-owner.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-1-ownersale.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-1-ownersale.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-1-ownersale.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-1-ownersale.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-1-ownersale.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.11,TX,Texas,success,America/Chicago,77903
carfax-abbey.com,AS20013 CyrusOne LLC,Houston,United States,US,Websitewelcome.com,29.8301,-95.4739,CyrusOne LLC,192.185.21.109,TX,Texas,success,America/Chicago,77092
carfax-ad.com,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",184.168.221.42,AZ,Arizona,success,America/Phoenix,85260
carfax-alberta.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-alternative-reports.xyz,AS20013 CyrusOne LLC,Houston,United States,US,Websitewelcome.com,29.8301,-95.4739,CyrusOne LLC,192.185.16.204,TX,Texas,success,America/Chicago,77092
carfax-austria.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-austria.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-austria.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-austria.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-austria.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-azerbaijan.com,AS8560 1&1 Internet SE,Warsaw,Poland,PL,1&1 Internet AG,52.2297,21.0122,1&1 Internet AG,217.160.231.25,MZ,Masovian Voivodeship,success,Europe/Warsaw,
carfax-baku.com,AS8560 1&1 Internet SE,Warsaw,Poland,PL,1&1 Internet AG,52.2297,21.0122,1&1 Internet AG,217.160.231.25,MZ,Masovian Voivodeship,success,Europe/Warsaw,
carfax-bc.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-bulgaria.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-bulgaria.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-bulgaria.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-bulgaria.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-bulgaria.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-buy-back-guarantee-program.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-buyback.com,AS15169 Google Inc.,Aptos,United States,US,Google,37.0082,-121.8777,Google,216.239.34.21,CA,California,success,America/Los_Angeles,95003
carfax-canada.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-canada.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-canada.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-canada.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-canada.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-china.com,"AS45102 Alibaba (China) Technology Co., Ltd.",Hong Kong,Hong Kong,HK,Alibaba,22.2825,114.162,Alibaba,47.90.74.4,,Central and Western,success,Asia/Hong_Kong,
carfax-clearance.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-clearance.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-clearance.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-clearance.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-clearance.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-college.com,"AS135340 Digital Ocean, Inc.",Bengaluru,India,IN,Digital Ocean,12.9833,77.5833,Digital Ocean,139.59.15.72,KA,Karnataka,success,Asia/Kolkata,560100
carfax-college.net,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",184.168.221.45,AZ,Arizona,success,America/Phoenix,85260
carfax-college.org,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",50.63.202.38,AZ,Arizona,success,America/Phoenix,85260
carfax-college.info,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",184.168.221.61,AZ,Arizona,success,America/Phoenix,85260
carfax-consultants.com,AS15169 Google Inc.,Mountain View,United States,US,Google Cloud,37.386,-122.0838,Google Cloud,23.236.62.147,CA,California,success,America/Los_Angeles,94035
carfax-consultants.net,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",50.63.202.11,AZ,Arizona,success,America/Phoenix,85260
carfax-consultants.org,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",184.168.221.7,AZ,Arizona,success,America/Phoenix,85260
carfax-corporate.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-corporate.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-corporate.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-corporate.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-corporate.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-czech.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-czech.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-czech.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-czech.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-czech-republic.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-czech-republic.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-czech-republic.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-czech-republic.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-czech-republic.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-de.com,AS8560 1&1 Internet SE,Warsaw,Poland,PL,1&1 Internet AG,52.2297,21.0122,1&1 Internet AG,217.160.230.204,MZ,Masovian Voivodeship,success,Europe/Warsaw,
carfax-denmark.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-denmark.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-denmark.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-denmark.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-denmark.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-dubai.com,AS8560 1&1 Internet SE,Warsaw,Poland,PL,1&1 Internet AG,52.2297,21.0122,1&1 Internet AG,217.160.230.201,MZ,Masovian Voivodeship,success,Europe/Warsaw,
carfax-dubai.net,AS8560 1&1 Internet SE,Warsaw,Poland,PL,1&1 Internet AG,52.2297,21.0122,1&1 Internet AG,217.160.230.201,MZ,Masovian Voivodeship,success,Europe/Warsaw,
carfax-dubai.org,AS8560 1&1 Internet SE,Warsaw,Poland,PL,1&1 Internet AG,52.2297,21.0122,1&1 Internet AG,217.160.230.201,MZ,Masovian Voivodeship,success,Europe/Warsaw,
carfax-education.com,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",160.153.16.29,AZ,Arizona,success,America/Phoenix,85260
carfax-education.net,AS8560 1&1 Internet SE,Offenbach,Germany,DE,1&1 Internet AG,50.0748,8.75573,1&1 Internet AG,217.160.223.109,HE,Hesse,success,Europe/Berlin,
carfax-education.org,AS8560 1&1 Internet SE,Offenbach,Germany,DE,1&1 Internet AG,50.0748,8.75573,1&1 Internet AG,217.160.223.109,HE,Hesse,success,Europe/Berlin,
carfax-education-azerbaijan.com,AS8560 1&1 Internet SE,Warsaw,Poland,PL,1&1 Internet AG,52.2297,21.0122,1&1 Internet AG,217.160.231.25,MZ,Masovian Voivodeship,success,Europe/Warsaw,
carfax-education-baku.com,AS8560 1&1 Internet SE,Warsaw,Poland,PL,1&1 Internet AG,52.2297,21.0122,1&1 Internet AG,217.160.231.25,MZ,Masovian Voivodeship,success,Europe/Warsaw,
carfax-espanol.com,"AS10753 Level 3 Communications, Inc.",Columbia,United States,US,Level 3 Communications,39.0437,-92.2714,Hydrosoft Internet,64.193.21.16,MO,Missouri,success,America/Chicago,65202
carfax-espanol.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-espanol.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-espanol.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-espanol.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-europe.com,AS24611 Datacenter Luxembourg S.A.,Bettembourg,Luxembourg,LU,Datacenter Luxembourg S.A.,49.5048,6.11237,Datacenter Luxembourg S.A.,80.92.65.53,L,District de Luxembourg,success,Europe/Luxembourg,
carfax-europe.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-europe.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-europe.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-europe.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-financial.com,AS15169 Google Inc.,Mountain View,United States,US,Google,37.4229,-122.085,Google,216.239.32.21,CA,California,success,America/Los_Angeles,
carfax-finland.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-finland.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-finland.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-finland.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-finland.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-france.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-france.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-france.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-france.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-france.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-germany.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-germany.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-germany.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-germany.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-germany.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-global.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-global.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-global.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-global.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-global.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-guardians.com,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",160.153.16.21,AZ,Arizona,success,America/Phoenix,85260
carfax-guardians.net,AS8560 1&1 Internet SE,Offenbach,Germany,DE,1&1 Internet AG,50.0748,8.75573,1&1 Internet AG,217.160.223.109,HE,Hesse,success,Europe/Berlin,
carfax-guardians.org,AS8560 1&1 Internet SE,Offenbach,Germany,DE,1&1 Internet AG,50.0748,8.75573,1&1 Internet AG,217.160.223.109,HE,Hesse,success,Europe/Berlin,
carfax-guardians.info,AS8560 1&1 Internet SE,Offenbach,Germany,DE,1&1 Internet AG,50.0748,8.75573,1&1 Internet AG,217.160.223.109,HE,Hesse,success,Europe/Berlin,
carfax-hungary.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-hungary.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-hungary.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-hungary.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-hungary.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-inc.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-inc.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-inc.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-italy.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-italy.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-italy.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-italy.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-italy.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-korea.com,"AS26496 GoDaddy.com, LLC",Scottsdale,United States,US,"GoDaddy.com, LLC",33.6119,-111.8906,"GoDaddy.com, LLC",160.153.16.21,AZ,Arizona,success,America/Phoenix,85260
carfax-kroatia.com,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-kroatia.net,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-kroatia.org,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-kroatia.biz,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
carfax-kroatia.info,AS62 CyrusOne LLC,Victoria,United States,US,CyrusOne LLC,28.8053,-97.0036,CyrusOne LLC,216.117.25.99,TX,Texas,success,America/Chicago,77903
